[3102, 'OD']
[3203, 'OD']
[292, 'FD']
[292, 'SD']
[292, 'HD']
[292, 'OD']
[15793, 'FD']
[15793, 'SD']
[279, 'FD']
[279, 'SD']
[279, 'HD']
[279, 'OD']
[15918, 'FD']
[15918, 'SD']
[15918, 'HD']
[15920, 'FD']
[15920, 'SD']
[15920, 'HD']
[17213, '2K']
[17213, 'AUTO']
[17213, 'FD']
[17213, 'OD']
[15952, 'FD']
[15952, 'SD']
[15952, 'HD']
[9486, 'FD']
[9486, 'SD']
[9486, 'HD']
[9486, 'OD']
[146, 'FD']
[146, 'SD']
[146, 'HD']
[146, 'OD']
[133, 'FD']
[133, 'SD']
[133, 'HD']
[133, 'OD']
[9349, 'FD']
[9349, 'SD']
[9349, 'HD']
[9349, 'OD']
[154, 'FD']
[154, 'SD']
[154, 'HD']
[154, 'OD']
[9600, 'FD']
[9600, 'SD']
[9600, 'HD']
[9600, 'OD']
[9606, 'FD']
[9606, 'SD']
[9606, 'HD']
[9606, 'OD']
[150, 'FD']
[150, 'SD']
[150, 'HD']
[150, 'OD']
[276, 'FD']
[276, 'SD']
[276, 'HD']
[276, 'OD']
[15781, 'FD']
[15781, 'SD']
[81, 'FD']
[81, 'SD']
[81, 'HD']
[81, 'OD']
[9430, 'FD']
[9430, 'SD']
[9430, 'HD']
[9430, 'OD']
[78, 'FD']
[78, 'SD']
[78, 'HD']
[78, 'OD']
[8279, 'FD']
[8279, 'SD']
[8279, 'HD']
[8279, 'OD']
[8470, 'FD']
[8470, 'SD']
[8470, 'HD']
[8470, 'OD']
[8281, 'FD']
[8281, 'SD']
[8281, 'HD']
[8281, 'OD']
[8280, 'FD']
[8280, 'SD']
[8280, 'HD']
[8280, 'OD']
[8282, 'FD']
[8282, 'SD']
[8282, 'HD']
[8282, 'OD']
[8283, 'FD']
[8283, 'SD']
[8283, 'HD']
[8283, 'OD']
[8472, 'FD']
[8472, 'SD']
[8472, 'HD']
[8472, 'OD']
[8285, 'FD']
[8285, 'SD']
[8285, 'HD']
[8285, 'OD']
[8286, 'FD']
[8286, 'SD']
[8286, 'HD']
[8286, 'OD']
[8287, 'FD']
[8287, 'SD']
[8287, 'HD']
[8287, 'OD']
[8284, 'FD']
[8284, 'SD']
[8284, 'HD']
[8284, 'OD']
[8469, 'FD']
[8469, 'SD']
[8469, 'HD']
[8469, 'OD']
[8288, 'FD']
[8288, 'SD']
[8288, 'HD']
[8288, 'OD']
[8291, 'FD']
[8291, 'SD']
[8291, 'HD']
[8291, 'OD']
[8290, 'FD']
[8290, 'SD']
[8290, 'HD']
[8290, 'OD']
[8289, 'FD']
[8289, 'SD']
[8289, 'HD']
[8289, 'OD']
[8471, 'FD']
[8471, 'SD']
[8471, 'HD']
[8471, 'OD']
[8292, 'FD']
[8292, 'SD']
[8292, 'HD']
[8292, 'OD']
[8295, 'FD']
[8295, 'SD']
[8295, 'HD']
[8295, 'OD']
[8293, 'FD']
[8293, 'SD']
[8293, 'HD']
[8293, 'OD']
[8294, 'FD']
[8294, 'SD']
[8294, 'HD']
[8294, 'OD']
[8385, 'FD']
[8385, 'SD']
[8385, 'HD']
[8296, 'FD']
[8296, 'SD']
[8296, 'HD']
[8296, 'OD']
[8299, 'FD']
[8299, 'SD']
[8299, 'HD']
[8299, 'OD']
[8297, 'FD']
[8297, 'SD']
[8297, 'HD']
[8297, 'OD']
[8298, 'FD']
[8298, 'SD']
[8298, 'HD']
[8298, 'OD']
[1750, 'OD']
[8304, 'FD']
[8304, 'SD']
[8304, 'HD']
[8304, 'OD']
[8307, 'FD']
[8307, 'SD']
[8307, 'HD']
[8307, 'OD']
[8305, 'FD']
[8305, 'SD']
[8305, 'HD']
[8305, 'OD']
[8306, 'FD']
[8306, 'SD']
[8306, 'HD']
[8306, 'OD']
[8391, 'FD']
[8391, 'SD']
[8391, 'HD']
[8309, 'FD']
[8309, 'SD']
[8309, 'HD']
[8309, 'OD']
[8311, 'FD']
[8311, 'SD']
[8311, 'HD']
[8311, 'OD']
[8386, 'FD']
[8386, 'SD']
[8386, 'HD']
[8312, 'FD']
[8312, 'SD']
[8312, 'HD']
[8312, 'OD']
[8313, 'FD']
[8313, 'SD']
[8313, 'HD']
[8313, 'OD']
[8505, 'FD']
[8505, 'SD']
[8505, 'HD']
[8505, 'OD']
[8319, 'FD']
[8319, 'SD']
[8319, 'HD']
[8319, 'OD']
[8316, 'FD']
[8316, 'SD']
[8316, 'HD']
[8316, 'OD']
[8506, 'FD']
[8506, 'SD']
[8506, 'HD']
[8506, 'OD']
[8321, 'FD']
[8321, 'SD']
[8321, 'HD']
[8321, 'OD']
[8323, 'FD']
[8323, 'SD']
[8323, 'HD']
[8323, 'OD']
[8503, 'FD']
[8503, 'SD']
[8503, 'HD']
[8503, 'OD']
[8329, 'FD']
[8329, 'SD']
[8329, 'HD']
[8329, 'OD']
[8331, 'FD']
[8331, 'SD']
[8331, 'HD']
[8331, 'OD']
[8504, 'FD']
[8504, 'SD']
[8504, 'HD']
[8504, 'OD']
[8332, 'FD']
[8332, 'SD']
[8332, 'HD']
[8332, 'OD']
[8335, 'FD']
[8335, 'SD']
[8335, 'HD']
[8335, 'OD']
[1672, 'OD']
